trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1339,False,"{'a': 0.002, 'e': 0.06883795600820049}",25,6,18.35182061075399,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
1340,False,"{'a': 0.002, 'e': 0.06870041768035805}",25,3,37.597895777991084,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1341,False,"{'a': 0.002, 'e': 0.06856315415427791}",20,8,15.295865392690342,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1342,False,"{'a': 0.002, 'e': 0.06842616488090583}",20,2,8.307138295749635,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
1343,False,"{'a': 0.002, 'e': 0.06828944931228448}",25,3,35.31471124606612,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.002, 'e': 0.06815300690155146}",20,0,35.75002695002626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1345,False,"{'a': 0.002, 'e': 0.06801683710293688}",25,20,11.096803572779518,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1346,False,"{'a': 0.002, 'e': 0.06788093937176144}",30,13,26.382349544434756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1347,False,"{'a': 0.002, 'e': 0.06774531316443397}",20,10,-10.866478909813365,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
1348,False,"{'a': 0.002, 'e': 0.0676099579384495}",20,3,31.22000092417419,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1349,False,"{'a': 0.002, 'e': 0.0674748731523869}",25,13,7.977279715814632,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1350,False,"{'a': 0.002, 'e': 0.06734005826590692}",25,16,-66.73195771150563,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
1351,False,"{'a': 0.002, 'e': 0.06720551273974976}",25,4,35.36240379772986,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.002, 'e': 0.06707123603573319}",25,7,5.3027264281169275,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1353,False,"{'a': 0.002, 'e': 0.06693722761675015}",20,8,20.418950372797582,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1354,False,"{'a': 0.002, 'e': 0.06680348694676687}",20,9,22.108280100753902,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.002, 'e': 0.06667001349082043}",25,7,-0.9378473221496211,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
1356,False,"{'a': 0.002, 'e': 0.06653680671501686}",25,0,-7.869976550681894,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
1357,False,"{'a': 0.002, 'e': 0.06640386608652883}",25,5,23.180809327598663,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1358,False,"{'a': 0.002, 'e': 0.06627119107359372}",20,13,12.12025792708317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1359,False,"{'a': 0.002, 'e': 0.06613878114551125}",30,14,32.54063595328155,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1360,False,"{'a': 0.002, 'e': 0.06600663577264156}",20,8,17.407498546935884,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1361,False,"{'a': 0.002, 'e': 0.06587475442640295}",30,6,33.66971875318933,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.002, 'e': 0.0657431365792699}",25,0,35.079143657162575,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1363,False,"{'a': 0.002, 'e': 0.0656117817047708}",25,15,18.445443310396563,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.002, 'e': 0.06548068927748603}",30,19,8.1161498776018,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1365,False,"{'a': 0.002, 'e': 0.06534985877304565}",25,13,21.40764863446832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1366,False,"{'a': 0.002, 'e': 0.06521928966812753}",20,5,-12.71155081621054,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1367,False,"{'a': 0.002, 'e': 0.065088981440455}",20,0,26.00864868068977,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1368,False,"{'a': 0.002, 'e': 0.06495893356879505}",20,13,1.3674612973695421,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1369,False,"{'a': 0.002, 'e': 0.06482914553295596}",20,0,28.486906320933254,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1370,False,"{'a': 0.002, 'e': 0.06469961681378547}",20,10,20.285202534508954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
